1k	1k
3k	3k
4k	4k
5kS8	5kS8
SRR10012547	Lepus_europaeus
SRR10023733	xxx
SRR10023735	xxx
SRR10023738	xxx
SRR10023741	xxx
SRR10023742	xxx
SRR11020321	xxx
SRR12020493	xxx
SRR12020499	xxx
SRR12020503	xxx
SRR14535615	Lepus_othus
SRR14535637	Lepus_othus
SRR14535648	xxx
SRR14535659	xxx
SRR14535670	Lepus_arcticus
SRR14535681	Lepus_arcticus
SRR14535682	xxx
SRR14535692	Lepus_arcticus
SRR17908653	Lepus_europaeus
SRR17908654	Lepus_europaeus
SRR28956761	Lepus_mandshuricus
SRR32541919	Outgroup
SRR5949624	xxx
SRR5949627	Lepus_americanus
SRR5949628	Lepus_timidus
SRR5949629	xxx
